2025-11-09 22:21:55.407 | INFO     | core.face_detection:load_known_faces:103 - 共加载 0 张已知人脸
2025-11-09 22:21:55.414 | INFO     | core.camera_manager:start_camera:120 - 摄像头 0 已启动
2025-11-09 22:21:55.415 | INFO     | core.camera_manager:start_camera:120 - 摄像头 1 已启动
2025-11-09 22:21:55.416 | INFO     | __main__:main:120 - 程序启动成功
2025-11-09 22:21:55.474 | ERROR    | core.camera_manager:_capture_frames:142 - 无法打开摄像头 1，源：1
2025-11-09 22:21:55.474 | INFO     | core.camera_manager:_capture_frames:181 - 摄像头 1 捕获线程退出
2025-11-09 22:21:55.556 | INFO     | core.camera_manager:_capture_frames:150 - 摄像头 0 打开成功
2025-11-09 22:24:51.611 | INFO     | core.camera_manager:_capture_frames:181 - 摄像头 0 捕获线程退出
2025-11-09 22:24:51.612 | INFO     | core.camera_manager:stop_all_cameras:93 - 所有摄像头线程已停止
2025-11-09 22:24:51.622 | INFO     | core.camera_manager:stop_all_cameras:93 - 所有摄像头线程已停止
2025-11-09 22:24:56.839 | SUCCESS  | core.face_detection:_load_model:59 - 人脸检测模型加载成功
2025-11-09 22:24:56.841 | INFO     | core.camera_manager:load_config:74 - 成功加载 2 个摄像头配置
2025-11-09 22:24:56.858 | SUCCESS  | core.database:_init_db:71 - 数据库初始化成功
2025-11-09 22:24:56.858 | INFO     | core.face_detection:load_known_faces:103 - 共加载 0 张已知人脸
2025-11-09 22:24:56.865 | INFO     | core.camera_manager:start_camera:120 - 摄像头 0 已启动
2025-11-09 22:24:56.866 | INFO     | core.camera_manager:start_camera:120 - 摄像头 1 已启动
2025-11-09 22:24:56.867 | INFO     | __main__:main:120 - 程序启动成功
2025-11-09 22:24:56.927 | ERROR    | core.camera_manager:_capture_frames:142 - 无法打开摄像头 1，源：1
2025-11-09 22:24:56.927 | INFO     | core.camera_manager:_capture_frames:181 - 摄像头 1 捕获线程退出
2025-11-09 22:24:56.967 | INFO     | core.camera_manager:_capture_frames:150 - 摄像头 0 打开成功
2025-11-09 22:25:22.588 | INFO     | core.camera_manager:stop_camera:127 - 摄像头 1 已停止
2025-11-09 22:25:22.666 | INFO     | core.camera_manager:_capture_frames:181 - 摄像头 0 捕获线程退出
2025-11-09 22:25:34.168 | INFO     | core.camera_manager:start_camera:120 - 摄像头 0 已启动
2025-11-09 22:25:34.290 | INFO     | core.camera_manager:_capture_frames:150 - 摄像头 0 打开成功
2025-11-09 22:25:41.002 | INFO     | core.camera_manager:_capture_frames:181 - 摄像头 0 捕获线程退出
2025-11-09 22:25:41.003 | INFO     | core.camera_manager:stop_camera:127 - 摄像头 0 已停止
2025-11-09 22:25:42.831 | INFO     | core.camera_manager:start_camera:120 - 摄像头 1 已启动
2025-11-09 22:25:42.883 | ERROR    | core.camera_manager:_capture_frames:142 - 无法打开摄像头 1，源：1
2025-11-09 22:25:42.884 | INFO     | core.camera_manager:_capture_frames:181 - 摄像头 1 捕获线程退出
2025-11-09 22:27:09.754 | INFO     | core.face_detection:load_known_faces:103 - 共加载 0 张已知人脸
2025-11-09 22:27:10.938 | INFO     | core.camera_manager:stop_all_cameras:93 - 所有摄像头线程已停止
2025-11-09 22:27:10.945 | INFO     | core.camera_manager:stop_all_cameras:93 - 所有摄像头线程已停止
2025-11-09 22:30:10.904 | SUCCESS  | core.face_detection:_load_model:59 - 人脸检测模型加载成功
2025-11-09 22:30:10.906 | INFO     | core.camera_manager:load_config:74 - 成功加载 2 个摄像头配置
2025-11-09 22:30:10.922 | SUCCESS  | core.database:_init_db:71 - 数据库初始化成功
2025-11-09 22:30:10.923 | INFO     | core.face_detection:load_known_faces:103 - 共加载 0 张已知人脸
2025-11-09 22:30:10.930 | INFO     | core.camera_manager:start_camera:120 - 摄像头 0 已启动
2025-11-09 22:30:10.931 | INFO     | core.camera_manager:start_camera:120 - 摄像头 1 已启动
2025-11-09 22:30:10.931 | INFO     | __main__:main:120 - 程序启动成功
2025-11-09 22:30:10.988 | ERROR    | core.camera_manager:_capture_frames:142 - 无法打开摄像头 1，源：1
2025-11-09 22:30:10.988 | INFO     | core.camera_manager:_capture_frames:181 - 摄像头 1 捕获线程退出
2025-11-09 22:30:11.087 | INFO     | core.camera_manager:_capture_frames:150 - 摄像头 0 打开成功
2025-11-09 22:31:20.475 | INFO     | core.face_detection:add_known_face:206 - 新的人脸已添加: 1cbe71bebb78d33d2afb2b0fd5dabcea
2025-11-09 22:31:21.214 | INFO     | core.alert_system:_capture_screenshot:141 - 截图已保存: data\screenshots\20251109_223121_cam0_1cbe71bebb78d33d2afb2b0fd5dabcea.jpg
2025-11-09 22:31:28.664 | INFO     | core.alert_system:trigger_alert:115 - 警报触发：1cbe71bebb78d33d2afb2b0fd5dabcea 在 Camera 0 被检测到，置信度 0.61
2025-11-09 22:31:29.409 | INFO     | core.alert_system:_capture_screenshot:141 - 截图已保存: data\screenshots\20251109_223129_cam0_1cbe71bebb78d33d2afb2b0fd5dabcea.jpg
2025-11-09 22:31:30.452 | INFO     | core.alert_system:trigger_alert:115 - 警报触发：1cbe71bebb78d33d2afb2b0fd5dabcea 在 Camera 0 被检测到，置信度 0.60
2025-11-09 22:31:31.249 | INFO     | core.alert_system:_capture_screenshot:141 - 截图已保存: data\screenshots\20251109_223131_cam0_1cbe71bebb78d33d2afb2b0fd5dabcea.jpg
2025-11-09 22:31:32.450 | INFO     | core.alert_system:trigger_alert:115 - 警报触发：1cbe71bebb78d33d2afb2b0fd5dabcea 在 Camera 0 被检测到，置信度 0.60
2025-11-09 22:31:32.673 | INFO     | core.alert_system:_capture_screenshot:141 - 截图已保存: data\screenshots\20251109_223132_cam0_1cbe71bebb78d33d2afb2b0fd5dabcea.jpg
2025-11-09 22:31:33.679 | INFO     | core.alert_system:trigger_alert:115 - 警报触发：1cbe71bebb78d33d2afb2b0fd5dabcea 在 Camera 0 被检测到，置信度 0.61
2025-11-09 22:31:33.823 | INFO     | core.alert_system:_capture_screenshot:141 - 截图已保存: data\screenshots\20251109_223133_cam0_1cbe71bebb78d33d2afb2b0fd5dabcea.jpg
2025-11-09 22:31:34.878 | INFO     | core.alert_system:trigger_alert:115 - 警报触发：1cbe71bebb78d33d2afb2b0fd5dabcea 在 Camera 0 被检测到，置信度 0.62
2025-11-09 22:31:35.144 | INFO     | core.alert_system:_capture_screenshot:141 - 截图已保存: data\screenshots\20251109_223135_cam0_1cbe71bebb78d33d2afb2b0fd5dabcea.jpg
2025-11-09 22:31:36.205 | INFO     | core.alert_system:trigger_alert:115 - 警报触发：1cbe71bebb78d33d2afb2b0fd5dabcea 在 Camera 0 被检测到，置信度 0.61
2025-11-09 22:31:36.394 | INFO     | core.face_detection:load_known_faces:98 - 已加载人脸: 1cbe71bebb78d33d2afb2b0fd5dabcea_1762698680
2025-11-09 22:31:36.394 | INFO     | core.face_detection:load_known_faces:103 - 共加载 1 张已知人脸
2025-11-09 22:31:36.595 | INFO     | core.alert_system:_capture_screenshot:141 - 截图已保存: data\screenshots\20251109_223136_cam0_1cbe71bebb78d33d2afb2b0fd5dabcea_1762698680.jpg
2025-11-09 22:31:37.603 | INFO     | core.alert_system:trigger_alert:115 - 警报触发：1cbe71bebb78d33d2afb2b0fd5dabcea_1762698680 在 Camera 0 被检测到，置信度 0.61
2025-11-09 22:31:40.922 | INFO     | core.camera_manager:_capture_frames:181 - 摄像头 0 捕获线程退出
2025-11-09 22:31:40.924 | INFO     | core.camera_manager:stop_camera:127 - 摄像头 0 已停止
2025-11-09 22:32:27.639 | WARNING  | core.face_detection:load_known_faces:82 - 无法读取图片: data\known_faces\程嘉骏.jpg
2025-11-09 22:32:27.640 | INFO     | core.face_detection:load_known_faces:103 - 共加载 0 张已知人脸
